itemid,name,price,price_max,price_before,discount,stock,sold,rating,rating_count,liked_count,brand,in_stock,free_shipping,cod,source,thumbnail,url
21785144263,นีเวีย โลชั่นบำรุงผิวกาย เรเดียนท์ โรส ไบรท์ โลชั่นหอม โลชั่นกลิ่นกุหลาบ 525 มล. NIVEA โลชั่น body lotion,289.0,289.0,289.0,0,1,10000,4.94,3194,449,Nivea(นีเวีย),True,False,False,search_api,https://down-th.img.susercontent.com/file/sg-11134201-823qf-moijrcbl60ap54,https://shopee.co.th/nivea_official_store/product/172431741/21785144263
10499931067,นีเวีย ลิป บำรุงริมฝีปาก พีชชี่ ซี แอนด์ อี 4.8 กรัม NIVEA ลิปมัน ลิปบาล์ม,109.0,109.0,119.0,8,1,2000,4.92,2292,810,Nivea(นีเวีย),True,False,False,search_api,https://down-th.img.susercontent.com/file/sg-11134201-823r4-moijs9v2obuq04,https://shopee.co.th/nivea_official_store/product/172431741/10499931067
26162444935,นีเวีย แคร์ริ่ง คัลเลอร์ คอรัล ลิป แคร์ เอสพีเอฟ 30 4.8 ก. NIVEA ลิปมัน ลิปบาล์ม,99.0,99.0,109.0,9,1,3000,4.9,1648,537,Nivea(นีเวีย),True,False,False,search_api,https://down-th.img.susercontent.com/file/sg-11134201-823rq-moijqn8n0nwrc3,https://shopee.co.th/nivea_official_store/product/172431741/26162444935
42855140314,นีเวีย เดอร์มา คอนโทรล ไบรท์ รีแพร์ สเปรย์ 150 มล. NIVEA 2ชิ้น ครีมรักแร้,198.0,198.0,270.0,27,1,857,4.96,614,182,Nivea(นีเวีย),True,False,False,search_api,https://down-th.img.susercontent.com/file/sg-11134201-823r4-moijqab0m8em5c,https://shopee.co.th/nivea_official_store/product/172431741/42855140314
26526461489,นีเวีย เดอร์มา แอคเน่ แคร์ สกิน เคลียร์ แอนด์ โพรเท็ค เซรั่ม เซรั่มลดสิว 30 มล. NIVEA เซรั่มลดสิว,299.0,299.0,499.0,40,1,1000,4.93,1424,524,Nivea(นีเวีย),True,False,False,search_api,https://down-th.img.susercontent.com/file/sg-11134201-823q1-moijqm5e2z2nd5,https://shopee.co.th/nivea_official_store/product/172431741/26526461489
19872738674,นีเวีย เมน ดราย อิมแพ็ค สติ๊ก 50 มล. NIVEA โรลออนสติ๊ก,199.0,199.0,199.0,0,1,1000,4.9,1280,208,Nivea(นีเวีย),True,False,False,search_api,https://down-th.img.susercontent.com/file/sg-11134201-823q0-moijrl0rxp1e0b,https://shopee.co.th/nivea_official_store/product/172431741/19872738674
25653399162,นีเวีย ซัน กันแดดผิวหน้า 30 มล. 2 ชิ้น NIVEA,310.0,310.0,618.0,50,1,10000,4.95,3640,469,Nivea(นีเวีย),True,False,False,search_api,https://down-th.img.susercontent.com/file/sg-11134201-823pq-moijqpezp825c8,https://shopee.co.th/nivea_official_store/product/172431741/25653399162
44055140213,นีเวีย เมน เดอร์มา คอนโทรล ดีเฟนด์ สเปรย์ 150 มล. NIVEA 2ชิ้น ครีมรักแร้,278.0,278.0,338.0,18,1,811,4.96,540,101,Nivea(นีเวีย),True,False,False,search_api,https://down-th.img.susercontent.com/file/sg-11134201-823rf-moijq7ygtszze6,https://shopee.co.th/nivea_official_store/product/172431741/44055140213
12699792208,นีเวีย เอ็กซ์ตร้า ไบรท์ ดับเบิ้ล มอยส์เจอร์ บอดี้ โลชั่น 500 มล. NIVEA โลชั่น body lotion,159.0,159.0,259.0,39,1,2000,4.89,1930,634,Nivea(นีเวีย),True,False,False,search_api,https://down-th.img.susercontent.com/file/sg-11134201-823qq-moijs38ybny9b9,https://shopee.co.th/nivea_official_store/product/172431741/12699792208
5147879973,นีเวีย ลิป เดอร์มารีแพร์ เอสพีเอฟ15 4.8 กรัม NIVEA,119.0,119.0,119.0,0,1,7000,4.94,5764,1937,Nivea(นีเวีย),True,False,False,search_api,https://down-th.img.susercontent.com/file/sg-11134201-823od-moijsrjlxm9udb,https://shopee.co.th/nivea_official_store/product/172431741/5147879973
